"x","y","id","Deciduous","Evergreen","Mixed","Shrub","Crops","WoodyWetland","Developed","Open","Herb","Forest","MinT","Rain"
504154.241131614,542848.146267152,1,0.159420289855072,0,0.695652173913043,0,0,0.144927536231884,0,0,0,0.855072463768116,11.4001318099089,100.053228862714
649772.948471468,359639.714096144,2,0,0,0,0,0.39568345323741,0,0,0.568345323741007,0.0359712230215827,0,14.3060806265011,99.1887382023345
414400.536096481,430062.302519165,3,0.892086330935252,0,0,0.00719424460431655,0,0,0,0.100719424460432,0,0.892086330935252,13.5278772308088,109.573803976571
398295.288555181,583259.029987752,4,0.921985815602837,0,0,0,0,0,0,0.0354609929078014,0,0.921985815602837,11.7593662363436,110.45373689475
567877.796450126,285223.746540922,5,0.467625899280576,0,0,0,0.0863309352517986,0.115107913669065,0.18705035971223,0,0.143884892086331,0.467625899280576,14.9129542418751,113.511093248884
689523.936855359,244022.177838589,6,0.414285714285714,0,0,0,0.321428571428571,0,0.05,0.15,0.0642857142857143,0.414285714285714,14.79569204697,93.5144219430379
448413.636931137,325203.232221494,7,0.905797101449275,0,0,0,0.0942028985507246,0,0,0,0,0.905797101449275,14.4597339038385,116.662697434344
681386.997492515,347082.820601985,8,0,0,0,0,0.869565217391304,0,0.0217391304347826,0.101449275362319,0.0072463768115942,0,14.1098151883991,92.2409869960668
671285.672828089,437617.626458601,9,0.290780141843972,0,0,0.049645390070922,0.156028368794326,0.106382978723404,0.0425531914893617,0.304964539007092,0.049645390070922,0.290780141843972,13.7213629964764,96.4974328959425
351661.657861412,685901.708794668,10,0.0567375886524823,0,0,0.0780141843971631,0,0.865248226950355,0,0,0,0.0567375886524823,10.5774316567975,101.621920605517
493537.324609474,502733.586226156,11,0.0857142857142857,0,0,0,0.5,0,0.35,0.0357142857142857,0.0285714285714286,0.0857142857142857,12.8628712832004,104.364538370592
513473.21690264,631265.59717172,12,0,0.0845070422535211,0.105633802816901,0,0,0.352112676056338,0,0,0,0.190140845070423,11.4237827750286,101.862350540414
